CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
MAO,LAB,0.24,0,8,6,2,1,10,8
Bill and Ben,Direct Democracy,2.4,5,5,3,0,0,6,9
NZF,LAB,0.07,5,5,5,0,0,2,5
MAO,MAO,0.14,6,3,3,0,0,1,9
LAB,LAB,0.43,6,9,7,5,0,5,7
Kiwi,LAB,,5,5,0,0,0,3,3
MAO,MAO,0.14,6,4,4,0,0,6,8
LAB,Other,0.08,1,9,3,3,3,3,8
MAO,MAO,0.58,5,5,3,3,3,7,10
MAO,LAB,0.06,6,7,0,0,0,0,0
MAO,GRN,0.13,7,7,5,5,2,8,9
MAO,LAB,0.29,5,7,2,5,1,5,10
MAO,LAB,0.14,5,3,5,5,8,8,10
LAB,LAB,0.09,4,6,2,3,3,4,4
LAB,LAB,0.77,0,10,5,4,5,7,6
GRN,GRN,0.1,3,3,0,5,0,10,10
NAT,NAT,0.33,10,1,0,1,1,1,1
LAB,NZF,0.16,5,8,6,0,0,5,9
LAB,LAB,0.13,9,9,1,1,0,4,10
No Vote,DK,0.75,0,0,0,0,0,0,0
LAB,LAB,0.09,0,10,7,0,0,7,8
LAB,LAB,0.16,0,5,0,0,0,0,0
LAB,LAB,0.15,5,5,0,0,0,5,0
MAO,MAO,0.11,5,8,2,6,0,7,10
LAB,LAB,0.4,3,10,2,3,3,3,10
MAO,LAB,0.14,5,7,6,3,0,5,10
LAB,LAB,0.64,0,10,0,0,0,0,10
MAO,LAB,0.38,5,7,2,2,1,7,10
No Vote,LAB,0.64,0,0,0,0,0,0,0
MAO,LAB,0.14,4,7,4,2,1,6,8
LAB,LAB,0.22,0,10,5,0,0,10,10
NAT,NZF,0.91,5,1,8,0,0,0,10
MAO,LAB,0.83,3,6,3,3,3,5,8
MAO,LAB,0.14,7,8,7,4,1,8,10
No Vote,LAB,2.35,0,10,5,0,0,10,10
MAO,LAB,0.64,5,5,7,4,2,2,10
LAB,LAB,0.16,4,10,3,4,0,4,8
NZF,NZF,0.58,1,8,10,5,1,10,10
LAB,LAB,0.08,0,10,5,0,0,10,5
NZF,MAO,0.07,0,10,10,0,0,8,10
NAT,DK,0.45,5,0,0,0,0,0,0
LAB,LAB,0.22,3,8,5,4,1,7,7
LAB,LAB,0.16,4,9,6,0,0,6,6
LAB,LAB,0.09,0,10,0,0,0,0,0
NAT,LAB,0.42,5,6,1,0,0,6,6
LAB,LAB,0.4,3,0,0,0,0,0,3
NZF,NZF,0.22,5,5,9,0,0,9,0
LAB,NZF,0.15,5,10,10,0,0,9,10
LAB,LAB,0.19,0,10,0,0,0,5,7
NZF,LAB,0.35,7,4,5,2,0,5,8
NZF,NZF,,6,10,10,0,0,0,10
LAB,LAB,0.21,0,6,0,0,0,0,0
LAB,MAO,0.22,3,7,6,1,1,5,7
LAB,LAB,0.37,5,8,4,0,0,8,5
LAB,LAB,0.94,5,10,5,7,3,10,3
GRN,UF,0.19,5,5,5,6,6,10,5
MAO,LAB,0.43,0,10,0,0,0,0,6
MAO,LAB,0.14,4,5,5,0,1,2,5
NAT,UF,0.14,8,4,5,6,6,6,8
LAB,MAO,0.08,0,7,2,0,0,7,8
No Vote,LAB,0.43,3,9,9,3,0,4,5
NAT,NAT,0.24,9,7,6,4,7,1,7
MAO,LAB,0.14,4,7,6,2,1,7,9
MAO,MAO,0.16,0,6,5,0,0,7,10
MAO,MAO,0.13,6,10,5,5,0,0,0
Another,LAB,1.5,9,8,9,6,7,9,10
LAB,LAB,0.08,4,8,3,0,0,0,9
LAB,LAB,0.19,2,10,10,0,0,10,7
LAB,LAB,0.09,8,6,3,3,5,5,2
MAO,LAB,0.05,1,8,7,5,0,10,10
NZF,LAB,0.13,4,8,8,4,4,4,4
LAB,LAB,0.8,0,10,0,0,0,10,10
MAO,GRN,0.11,4,6,4,4,1,9,10
NAT,LAB,0.66,10,10,10,2,2,2,10
LAB,LAB,0.43,2,10,4,0,0,8,8
MAO,NZF,0.77,6,1,10,0,0,3,10
LAB,LAB,0.22,7,8,5,0,0,5,7
MAO,LAB,0.27,0,0,0,0,0,0,0
LAB,LAB,0.16,5,10,10,2,0,2,10
LAB,LAB,0.08,0,9,6,0,0,10,10
NZF,NZF,0.17,1,10,10,0,1,3,7
NAT,LAB,0.09,7,3,0,4,4,2,0
NAT,NAT,0.15,8,2,0,5,4,4,8
LAB,LAB,0.22,2,5,4,2,2,4,5
LAB,LAB,0.71,7,10,10,0,4,8,3
LAB,LAB,1.76,0,10,5,0,0,9,4
MAO,DK,0.11,4,7,6,5,5,7,8
NZF,NZF,0.3,4,2,8,2,2,2,9
MAO,LAB,0.14,0,10,6,0,0,6,9
LAB,LAB,0.44,4,7,5,0,0,2,1
LAB,LAB,1.67,0,10,5,1,0,5,10
MAO,LAB,0.14,1,1,5,0,0,1,9
LAB,LAB,0.09,1,6,6,0,1,6,3
LAB,DK,0.4,5,7,3,0,0,4,4
NZF,NZF,0.11,7,7,6,3,0,4,8
MAO,LAB,0.13,4,6,0,0,0,6,6
MAO,LAB,0.25,5,3,2,5,5,5,5
No Vote,DK,1.11,5,5,0,5,5,5,5
MAO,LAB,0.13,5,8,3,2,3,7,10
LAB,LAB,0.19,5,8,2,1,0,9,9
LAB,LAB,0.8,0,0,0,0,0,0,0
MAO,MAO,0.13,7,3,3,0,0,3,7
LAB,LAB,1.61,2,9,2,0,0,9,9
NAT,,0.42,10,6,9,0,0,5,10
NZF,NZF,0.17,0,6,10,0,0,10,10
LAB,LAB,0.37,1,10,2,0,5,6,7
LAB,LAB,0.16,5,6,2,1,3,1,6
LAB,MAO,0.24,0,8,1,1,1,8,10
LAB,LAB,0.88,0,8,7,4,4,4,5
LAB,LAB,0.16,0,10,8,0,0,5,10
LAB,LAB,0.09,4,7,4,3,2,6,4
NAT,NAT,0.21,3,3,0,0,0,3,2
LAB,LAB,0.37,5,10,5,0,1,10,10
MAO,LAB,0.16,7,7,6,4,6,7,10
NZF,NZF,0.07,0,0,10,0,0,0,0
No Vote,LAB,0.33,4,8,5,2,2,7,7
LAB,LAB,0.37,5,9,5,5,1,8,7
LAB,LAB,0.08,5,5,4,2,2,5,5
NAT,NZF,0.24,10,8,8,7,8,9,4
GRN,DK,0.26,6,6,5,4,3,9,9
MAO,LAB,0.43,6,8,0,0,0,0,9
NZF,LAB,0.07,4,4,4,4,1,4,6
GRN,GRN,0.77,3,6,5,5,3,9,9
MAO,Destiny,0.27,0,5,5,0,0,0,10
NAT,NAT,0.1,7,5,3,3,4,4,6
MAO,LAB,0.13,6,6,6,2,0,8,10
LAB,LAB,0.22,0,10,0,0,0,9,5
NZF,MAO,0.11,4,5,6,0,0,9,10
LAB,LAB,0.07,5,8,6,2,0,2,4
MAO,MAO,0.38,9,9,5,5,5,7,10
GRN,DK,0.2,0,0,0,0,0,0,6
LAB,LAB,0.21,9,9,6,6,7,8,8
NAT,ACT,0.45,8,3,1,2,8,2,5
MAO,Legalise Cannabis,0.14,8,8,9,0,0,0,9
NAT,LAB,0.33,9,8,7,0,4,4,6
