"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
Maori,No Vote,0.73,4,5,0,0,0,0,10,0
Maori,Maori,0.13,5,5,2,1,1,0,8,1
Labour,Labour,0.43,9,9,5,5,5,5,5,5
Maori,Labour,0.50,3,7,5,0,0,6,9,5
NZ First,NZFirst,0.22,2,5,7,7,0,3,4,3
National,Labour,0.32,10,6,2,2,2,3,3,2
National,National,0.43,8,4,7,5,5,6,7,4
Labour,Labour,0.44,3,10,5,0,0,5,1,6
Maori,Labour,0.24,0,8,6,2,1,10,8,1
Bill and Ben,Direct Democracy,2.40,5,5,3,0,0,6,9,0
NZ First,Labour,0.07,5,5,5,0,0,2,5,2
Maori,Maori,0.14,6,3,3,0,0,1,9,0
Labour,Labour,0.43,6,9,7,5,0,5,7,6
Kiwi,Labour,,5,5,0,0,0,3,3,8
Maori,Maori,0.14,6,4,4,0,0,6,8,0
Labour,Other,0.08,1,9,3,3,3,3,8,3
Maori,Maori,0.58,5,5,3,3,3,7,10,5
Maori,Labour,0.06,6,7,0,0,0,0,0,0
Maori,Green,0.13,7,7,5,5,2,8,9,4
Maori,Labour,0.29,5,7,2,5,1,5,10,7
Maori,Labour,0.14,5,3,5,5,8,8,10,0
Labour,Labour,0.09,4,6,2,3,3,4,4,0
Labour,Labour,0.77,0,10,5,4,5,7,6,0
Green,Green,0.10,3,3,0,5,0,10,10,5
National,National,0.33,10,1,0,1,1,1,1,1
Labour,NZFirst,0.16,5,8,6,0,0,5,9,7
Labour,Labour,0.13,9,9,1,1,0,4,10,10
No Vote,DK,0.75,0,0,0,0,0,0,0,0
Labour,Labour,0.09,0,10,7,0,0,7,8,5
Labour,Labour,0.16,0,5,0,0,0,0,0,0
Labour,Labour,0.15,5,5,0,0,0,5,0,0
Maori,Maori,0.11,5,8,2,6,0,7,10,6
Labour,Labour,0.40,3,10,2,3,3,3,10,3
Maori,Labour,0.14,5,7,6,3,0,5,10,5
Labour,Labour,0.64,0,10,0,0,0,0,10,0
Maori,Labour,0.38,5,7,2,2,1,7,10,2
No Vote,Labour,0.64,0,0,0,0,0,0,0,0
Maori,Labour,0.14,4,7,4,2,1,6,8,4
Labour,Labour,0.22,0,10,5,0,0,10,10,5
National,NZFirst,0.91,5,1,8,0,0,0,10,0
Maori,Labour,0.83,3,6,3,3,3,5,8,3
Maori,Labour,0.14,7,8,7,4,1,8,10,8
No Vote,Labour,2.35,0,10,5,0,0,10,10,0
Maori,Labour,0.64,5,5,7,4,2,2,10,2
Labour,Labour,0.16,4,10,3,4,0,4,8,3
NZ First,NZFirst,0.58,1,8,10,5,1,10,10,5
Labour,Labour,0.08,0,10,5,0,0,10,5,10
NZ First,Maori,0.07,0,10,10,0,0,8,10,0
National,DK,0.45,5,0,0,0,0,0,0,0
Labour,Labour,0.22,3,8,5,4,1,7,7,5
Labour,Labour,0.16,4,9,6,0,0,6,6,0
Labour,Labour,0.09,0,10,0,0,0,0,0,0
National,Labour,0.42,5,6,1,0,0,6,6,0
Labour,Labour,0.40,3,0,0,0,0,0,3,0
NZ First,NZFirst,0.22,5,5,9,0,0,9,0,0
Labour,NZFirst,0.15,5,10,10,0,0,9,10,0
Labour,Labour,0.19,0,10,0,0,0,5,7,5
NZ First,Labour,0.35,7,4,5,2,0,5,8,3
NZ First,NZFirst,,6,10,10,0,0,0,10,0
Labour,Labour,0.21,0,6,0,0,0,0,0,0
Labour,Maori,0.22,3,7,6,1,1,5,7,6
Labour,Labour,0.37,5,8,4,0,0,8,5,0
Labour,Labour,0.94,5,10,5,7,3,10,3,3
Green,United F,0.19,5,5,5,6,6,10,5,0
Maori,Labour,0.43,0,10,0,0,0,0,6,0
Maori,Labour,0.14,4,5,5,0,1,2,5,4
National,United F,0.14,8,4,5,6,6,6,8,5
Labour,Maori,0.08,0,7,2,0,0,7,8,0
No Vote,Labour,0.43,3,9,9,3,0,4,5,9
National,National,0.24,9,7,6,4,7,1,7,4
Maori,Labour,0.14,4,7,6,2,1,7,9,3
Maori,Maori,0.16,0,6,5,0,0,7,10,0
Maori,Maori,0.13,6,10,5,5,0,0,0,0
Another,Labour,1.50,9,8,9,6,7,9,10,6
Labour,Labour,0.08,4,8,3,0,0,0,9,0
Labour,Labour,0.19,2,10,10,0,0,10,7,0
Labour,Labour,0.09,8,6,3,3,5,5,2,5
Maori,Labour,0.05,1,8,7,5,0,10,10,0
NZ First,Labour,0.13,4,8,8,4,4,4,4,4
Labour,Labour,0.80,0,10,0,0,0,10,10,0
Maori,Green,0.11,4,6,4,4,1,9,10,0
National,Labour,0.66,10,10,10,2,2,2,10,0
Labour,Labour,0.43,2,10,4,0,0,8,8,0
Maori,NZFirst,0.77,6,1,10,0,0,3,10,0
Labour,Labour,0.22,7,8,5,0,0,5,7,0
