"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
National,Labour,1.17,7,6,5,5,3,4,2,5
National,National,0.86,9,2,2,7,6,4,2,4
National,National,0.86,8,3,0,4,6,1,3,1
National,DK,0.53,7,6,0,5,4,4,0,4
Act,Act,0.93,8,2,3,4,9,3,6,3
National,National,0.38,9,1,0,0,0,0,0,0
Labour,Labour,,5,8,8,5,5,8,4,8
National,National,0.88,9,1,1,1,1,1,1,1
Labour,Labour,2.16,0,10,2,0,2,3,5,0
United F,United F,2.92,7,7,3,8,3,2,2,2
National,National,0.35,10,5,0,7,2,0,0,0
Labour,Labour,0.26,2,8,5,3,0,5,5,5
Labour,Labour,0.47,0,0,3,3,1,7,8,4
National,National,1.10,8,2,6,1,1,1,3,2
Act,NZFirst,0.35,5,0,0,5,5,0,2,2
Labour,Labour,0.30,0,0,0,0,0,0,0,0
National,National,0.86,9,0,10,0,5,2,5,0
National,National,0.38,8,5,5,1,1,1,1,1
Labour,Labour,0.98,0,10,0,0,0,0,0,0
Maori,Maori,0.15,4,4,0,1,0,8,8,4
Labour,Labour,1.57,3,9,3,2,0,5,0,7
Labour,Labour,3.19,5,10,5,5,5,5,5,5
National,Labour,2.92,6,5,2,2,0,4,5,5
National,National,0.66,8,0,3,4,8,0,5,0
Labour,Labour,0.30,5,10,10,0,0,5,5,10
Labour,NZFirst,0.77,0,9,7,1,0,8,1,9
National,National,3.57,8,3,0,0,4,5,0,0
National,Labour,0.29,7,7,1,2,3,5,7,0
National,National,0.26,8,1,0,0,5,0,2,0
Labour,Labour,0.98,5,5,5,4,4,5,7,4
National,National,0.62,6,4,1,3,3,3,5,2
National,Labour,0.34,10,5,4,4,7,0,0,0
National,National,0.67,8,0,3,0,3,0,0,0
National,Labour,0.88,9,5,5,5,5,4,5,5
National,NZFirst,2.91,10,6,6,6,8,0,4,2
National,National,0.86,10,1,0,0,5,1,0,0
National,DK,0.33,0,0,0,0,0,0,0,0
National,National,0.26,10,2,2,5,10,2,6,2
Labour,Labour,0.98,5,10,0,0,0,0,0,0
National,National,0.53,8,4,0,0,0,5,8,0
National,National,0.77,10,7,5,6,8,7,5,5
Labour,Labour,0.98,3,9,1,2,0,7,4,3
Green,Green,0.38,8,6,3,1,0,10,6,4
NZ First,Labour,0.79,5,5,5,0,0,5,0,5
Labour,Labour,0.34,0,10,0,0,0,2,7,5
No Vote,Labour,3.05,5,5,0,0,0,0,0,0
National,National,0.29,7,3,0,5,3,9,5,1
Labour,Labour,1.44,5,8,4,0,5,6,0,7
National,National,1.21,10,3,5,0,4,2,0,2
National,National,1.52,8,1,4,4,7,2,6,5
National,National,0.17,9,0,0,0,9,3,0,0
Maori,Labour,0.59,6,7,2,5,4,5,8,0
National,National,0.38,10,1,1,3,4,3,3,0
Labour,No Vote,0.89,4,8,2,7,0,0,0,0
No Vote,National,0.39,8,8,0,6,5,6,5,0
National,National,0.86,8,3,3,4,6,0,1,1
Labour,Labour,1.62,8,9,8,5,6,7,5,5
Labour,Labour,0.47,1,9,1,3,0,5,3,8
National,National,0.35,9,2,0,5,5,0,5,5
National,Labour,0.35,10,1,5,1,5,0,2,0
National,National,1.80,8,4,3,3,7,4,3,2
National,National,1.00,9,2,1,5,7,2,7,1
Green,Labour,0.96,7,7,5,5,5,8,5,5
Labour,Labour,0.60,3,10,0,1,2,9,5,0
National,National,0.67,10,0,0,5,7,2,5,0
National,Labour,0.35,8,4,7,0,0,1,0,7
National,National,0.67,8,8,1,5,5,5,2,2
National,National,0.62,9,1,1,7,0,0,5,2
National,National,0.35,10,0,4,0,7,0,3,4
Labour,Labour,0.60,0,10,9,0,0,9,9,7
Labour,Labour,0.34,5,10,7,0,0,5,7,0
Labour,Labour,0.37,6,8,1,0,5,5,0,0
Labour,Labour,0.69,5,10,5,5,0,10,10,10
Labour,Labour,1.32,0,0,0,0,0,0,0,0
National,National,2.91,8,2,7,9,6,3,6,3
National,National,0.38,8,4,1,1,4,8,4,1
Act,Act,0.93,8,0,0,0,8,1,6,0
National,National,0.33,9,1,4,0,5,0,4,0
National,National,0.34,8,7,5,7,5,5,0,0
National,National,0.62,8,7,2,2,2,5,4,0
National,National,0.34,7,4,2,2,2,2,5,2
National,DK,0.77,7,0,5,5,6,0,6,5
National,National,0.32,8,6,0,3,5,0,3,0
Labour,Labour,0.79,5,7,0,0,5,7,5,5
National,Labour,1.65,8,6,0,1,4,5,3,0
National,National,2.42,8,4,2,5,5,4,5,0
Labour,Labour,0.79,0,9,0,0,0,0,0,0
National,Labour,0.53,10,9,8,7,9,1,7,8
No Vote,No Vote,0.88,5,5,2,2,0,4,3,3
Labour,Labour,0.77,0,10,0,3,0,3,0,9
National,National,1.64,0,0,0,4,5,0,0,0
NZ First,DK,2.10,2,4,7,3,1,2,1,8
National,National,0.33,10,0,0,1,4,0,0,0
Kiwi,Labour,0.62,2,3,4,1,1,3,2,0
NZ First,Labour,0.62,8,10,8,5,5,5,5,5
National,National,0.88,8,3,5,4,4,4,3,3
Labour,United F,0.77,7,3,5,6,6,2,5,5
National,United F,2.91,6,1,3,10,8,1,8,5
Labour,Labour,1.61,7,10,0,0,0,5,5,0
National,Labour,2.42,0,0,0,0,0,0,0,0
Labour,Labour,0.60,3,8,1,1,1,6,2,6
National,NZFirst,1.64,8,0,5,2,2,0,0,2
Labour,Labour,0.31,2,9,5,0,0,0,0,0
National,National,2.42,10,4,0,6,10,7,7,7
Labour,Labour,2.92,0,10,2,0,0,7,7,9
National,National,0.34,8,6,0,3,6,7,7,0
National,No Vote,2.81,10,3,0,1,8,0,5,0
NZ First,Labour,2.10,6,7,7,5,3,3,5,7
Progressive,Labour,0.27,5,8,5,5,5,2,0,10
Labour,Labour,0.48,2,10,5,0,0,6,0,0
NZ First,National,1.74,5,5,5,5,5,5,5,5
Labour,Labour,1.48,1,9,2,0,1,8,5,6
National,National,0.33,10,0,3,7,3,1,2,1
National,,0.86,10,0,0,6,6,0,6,6
Labour,Labour,0.77,2,10,7,3,0,0,6,8
Labour,Labour,0.55,5,10,7,2,0,2,3,8
National,National,1.00,10,4,3,5,9,6,3,3
NZ First,NZFirst,0.25,4,8,7,3,3,5,5,6
Labour,Labour,0.30,4,3,5,2,0,1,2,1
National,National,0.26,8,6,3,4,7,7,6,7
NZ First,NZFirst,0.79,5,4,7,5,0,0,4,5
National,National,0.86,8,5,4,6,6,4,4,4
Labour,Labour,0.60,6,9,0,0,0,6,9,6
National,National,0.35,10,5,0,0,2,5,2,5
National,Labour,0.35,5,5,0,0,0,6,0,0
Green,Labour,0.37,0,8,1,1,0,10,10,7
Labour,Labour,0.31,0,7,0,0,6,7,7,0
National,National,4.16,10,5,0,5,5,0,5,5
Labour,No Vote,2.35,5,8,5,0,3,4,7,0
No Vote,Labour,2.35,2,10,0,0,0,4,3,0
Labour,No Vote,0.89,3,10,4,4,6,10,3,4
No Vote,Labour,2.35,5,5,5,0,5,5,5,0
Labour,Labour,0.37,5,10,4,0,0,8,9,0
Labour,No Vote,0.89,5,9,0,0,0,5,8,0
Maori,No Vote,2.35,5,7,1,1,1,2,10,1
Labour,Labour,0.37,5,8,2,2,2,6,8,2
No Vote,Labour,0.98,0,10,0,0,0,10,10,0
National,No Vote,0.99,0,0,0,0,0,0,0,0
No Vote,No Vote,5.26,4,9,0,0,0,0,0,0
Labour,DK,0.89,4,7,3,0,5,4,7,0
Labour,Labour,1.15,3,10,4,0,2,8,7,0
Labour,DK,0.43,3,10,5,5,5,5,9,0
No Vote,Labour,2.35,2,8,3,1,2,3,3,1
Labour,Labour,1.15,2,9,2,0,1,8,10,5
Labour,Labour,0.89,0,10,5,0,0,8,10,0
Labour,Labour,0.37,5,5,5,4,4,6,4,5
Maori,Labour,0.59,5,5,5,5,5,5,8,5
National,No Vote,1.27,10,3,6,4,5,0,8,3
Maori,NZFirst,0.76,6,8,8,0,0,6,7,4
No Vote,DK,5.64,3,10,4,0,3,6,10,2
Labour,Labour,1.14,3,8,2,0,0,6,5,0
Labour,Labour,1.14,3,8,6,0,0,8,6,0
No Vote,No Vote,3.02,4,10,0,0,3,0,10,0
Labour,Labour,0.60,4,8,4,4,4,5,7,4
Labour,No Vote,1.42,0,10,8,0,0,8,10,10
Maori,NZFirst,3.02,5,5,5,0,0,0,5,0
National,Labour,3.76,10,10,5,3,3,3,10,3
Labour,,3.02,0,8,0,0,0,8,8,0
Labour,No Vote,1.14,0,10,5,5,5,5,3,5
No Vote,Maori,2.35,2,10,0,0,3,5,10,0
Labour,No Vote,0.55,8,8,5,5,6,6,5,5
National,No Vote,1.61,8,1,0,10,6,0,0,5
Labour,Green,0.15,5,5,0,0,0,8,5,0
Green,No Vote,1.37,2,8,5,5,7,9,3,5
United F,Green,0.64,3,5,0,5,0,7,0,0
No Vote,No Vote,1.95,8,8,0,0,0,0,0,0
National,No Vote,0.53,6,3,1,1,1,1,0,0
Labour,Labour,0.47,3,9,0,0,0,10,3,2
No Vote,No Vote,2.96,5,5,5,3,3,1,5,1
National,No Vote,0.61,7,4,0,5,6,4,5,0
Labour,DK,0.47,7,10,8,0,5,5,5,0
Labour,Labour,0.47,0,7,0,5,5,7,0,0
National,United F,0.53,8,4,2,7,4,7,0,0
Maori,No Vote,2.96,4,6,7,7,0,10,10,8
National,No Vote,0.53,8,3,0,0,0,0,0,0
Labour,Labour,0.55,6,9,0,0,0,0,0,0
Labour,No Vote,0.55,7,10,3,7,7,8,7,5
No Vote,Labour,1.45,4,9,3,0,3,8,5,0
National,No Vote,0.61,8,3,7,5,6,4,7,5
National,United F,0.61,10,4,7,8,7,6,4,5
National,No Vote,0.61,8,7,6,2,6,3,5,3
Green,No Vote,1.37,5,8,0,5,0,10,2,5
National,National,1.25,7,3,0,5,6,6,7,0
Labour,DK,0.55,0,6,0,0,0,0,0,0
Green,Labour,0.58,2,10,2,2,0,10,8,10
No Vote,DK,1.45,5,5,5,5,5,5,5,5
National,Labour,0.17,7,8,1,2,6,6,5,5
Labour,No Vote,2.96,6,8,6,0,8,8,8,7
Green,No Vote,1.37,3,9,5,1,1,10,7,7
Labour,Labour,0.55,0,0,0,0,0,0,0,0
Labour,Labour,0.15,6,6,2,6,1,7,0,0
Labour,No Vote,0.55,0,10,5,0,0,8,5,0
National,No Vote,1.25,8,5,4,5,7,8,0,0
Labour,No Vote,2.96,5,8,7,5,5,5,5,5
Labour,No Vote,0.55,3,8,3,9,2,2,2,8
National,No Vote,0.61,4,7,3,3,2,6,3,3
National,No Vote,1.25,10,6,8,3,6,0,3,6
No Vote,No Vote,2.96,9,9,1,0,0,0,0,0
United F,DK,0.74,8,1,1,9,7,1,3,5
Labour,No Vote,1.12,3,9,4,0,0,5,0,0
Labour,No Vote,0.55,0,8,5,5,5,7,2,7
No Vote,No Vote,2.96,6,0,1,3,6,0,0,0
Progressive,Labour,0.49,6,9,1,5,0,9,5,9
National,National,0.61,8,5,8,5,6,4,3,5
Green,No Vote,0.58,1,9,2,2,2,9,5,0
National,No Vote,1.25,9,0,5,5,9,1,1,5
National,No Vote,0.61,8,4,1,0,7,7,0,0
National,No Vote,1.25,8,7,0,4,4,5,0,0
National,Labour,0.53,7,8,0,0,4,8,4,0
Labour,No Vote,1.12,3,8,5,0,0,4,5,0
Labour,Labour,2.51,2,9,5,5,5,8,0,5
Green,No Vote,0.58,3,5,0,0,0,6,0,0
National,No Vote,0.61,9,9,6,6,8,9,0,7
No Vote,No Vote,1.45,5,8,3,0,0,8,0,0
Labour,Labour,1.25,0,10,0,5,0,9,6,9
Green,No Vote,0.58,5,6,1,1,0,10,7,5
Act,No Vote,0.66,7,6,5,5,6,7,3,3
Labour,No Vote,1.12,0,8,5,4,4,10,0,4
Green,Labour,0.58,4,8,2,0,1,6,2,0
Labour,No Vote,0.55,6,9,0,0,6,7,8,0
National,NZFirst,0.61,9,8,6,0,8,6,0,0
National,No Vote,1.25,8,1,5,7,6,5,5,5
National,No Vote,0.53,8,9,1,4,4,7,4,5
National,No Vote,0.53,8,9,0,0,0,4,1,0
Labour,Labour,2.96,0,10,5,2,5,8,5,2
Labour,DK,0.55,1,10,1,1,1,10,3,1
Green,No Vote,1.37,6,6,0,3,0,9,6,3
United F,United F,1.45,7,7,5,9,2,9,7,1
NZ First,NZFirst,0.38,6,4,7,0,0,4,0,0
No Vote,No Vote,2.96,0,0,0,0,0,0,0,0
National,No Vote,1.25,8,6,5,0,5,0,0,0
Labour,DK,1.12,3,10,10,0,0,6,7,0
National,No Vote,2.80,9,0,3,3,4,8,0,4
Bill and Ben,No Vote,2.35,7,7,0,0,0,8,7,7
Labour,No Vote,1.12,3,8,2,5,5,6,4,6
Labour,Labour,1.25,0,10,3,5,5,5,6,6
National,National,0.53,8,5,6,6,6,6,0,0
Labour,No Vote,1.12,3,8,5,3,4,5,6,3
National,No Vote,0.61,9,3,2,0,8,4,3,5
Labour,Labour,0.47,0,10,5,0,0,10,0,0
Labour,Labour,0.15,3,9,2,4,2,8,5,7
Labour,No Vote,2.96,4,5,8,6,0,0,0,6
Labour,No Vote,0.55,7,9,0,0,0,0,5,5
National,No Vote,0.61,7,5,4,0,4,0,0,0
National,Act,0.17,9,3,0,5,6,1,8,5
Green,Green,0.18,0,9,0,0,0,10,3,3
No Vote,No Vote,2.96,7,7,0,0,4,4,0,0
No Vote,No Vote,2.96,5,7,0,0,0,9,1,0
Labour,Labour,0.47,2,10,5,3,0,10,9,0
National,No Vote,1.25,6,6,0,0,4,3,3,0
Labour,No Vote,1.12,4,7,0,0,0,8,0,0
Green,National,0.58,3,6,2,7,5,7,5,4
National,No Vote,1.25,0,0,0,0,0,0,0,0
National,No Vote,0.53,10,1,3,6,7,0,5,1
Labour,Labour,0.55,3,9,3,2,1,9,6,0
National,No Vote,0.61,10,0,5,5,9,0,5,5
National,No Vote,1.25,9,8,5,5,6,6,7,0
No Vote,No Vote,5.64,0,10,5,5,5,9,2,5
National,No Vote,1.25,8,1,2,0,8,1,5,0
Labour,Labour,2.51,5,9,0,0,0,3,0,0
Labour,DK,1.12,3,7,0,0,0,5,0,0
National,National,1.25,10,5,5,5,5,2,2,0
United F,No Vote,0.74,7,2,3,9,6,6,1,1
National,National,1.45,9,5,4,6,7,8,3,6
National,No Vote,0.53,8,5,0,0,0,0,0,0
National,No Vote,1.25,8,6,5,5,5,3,5,5
National,Labour,0.61,7,4,0,0,5,2,4,0
Green,No Vote,0.67,2,6,0,0,0,8,5,0
Labour,No Vote,1.12,5,10,0,0,0,0,0,0
No Vote,No Vote,1.25,5,5,0,0,0,4,0,0
National,No Vote,0.53,8,7,0,5,5,6,0,5
National,Labour,0.17,8,5,2,2,2,7,7,0
Green,Green,0.58,3,7,1,1,1,8,6,1
No Vote,No Vote,3.80,3,6,4,0,0,0,4,0
Labour,Labour,3.80,3,8,0,0,0,0,0,0
National,No Vote,1.61,8,2,3,1,1,3,3,1
Bill and Ben,National,3.02,7,4,1,5,7,6,1,5
National,National,1.61,9,0,5,5,5,2,1,5
National,No Vote,0.91,5,5,0,0,0,0,0,0
Labour,,1.44,2,10,1,0,0,2,1,0
National,National,0.84,8,3,0,0,8,6,0,0
National,No Vote,1.61,7,5,0,0,0,8,0,0
National,United F,0.91,8,3,5,8,8,0,6,0
Green,Labour,0.92,3,6,5,3,0,10,7,4
Labour,Labour,0.81,6,8,4,4,6,7,5,0
National,National,1.61,10,5,4,3,2,0,0,2
Labour,,1.44,2,10,1,3,2,4,0,1
National,National,0.91,10,0,5,7,9,0,0,0
Labour,Labour,1.99,3,8,5,5,0,9,6,7
Labour,No Vote,1.79,7,7,1,6,0,7,0,3
National,National,0.91,7,0,1,5,6,6,6,2
Labour,No Vote,1.44,2,9,8,0,3,7,0,0
Act,Act,0.90,2,2,0,1,10,0,6,0
Green,No Vote,0.99,3,8,0,0,0,8,0,0
Green,Green,0.92,0,2,0,0,0,10,7,0
National,No Vote,0.91,8,6,9,5,6,0,5,5
Green,No Vote,1.76,10,10,10,0,0,0,0,0
Green,Green,0.92,4,10,0,0,4,10,10,0
National,No Vote,0.91,6,6,2,2,0,7,0,0
National,No Vote,0.84,8,7,1,8,3,5,5,3
National,National,0.84,9,5,5,0,6,5,5,0
National,No Vote,1.61,10,0,0,2,5,1,3,2
National,No Vote,2.00,10,0,0,7,7,0,0,0
Green,No Vote,1.76,0,7,2,3,3,7,0,0
National,Act,3.80,5,5,5,5,5,5,5,5
National,National,0.84,9,3,0,5,6,4,5,5
Green,No Vote,0.92,4,7,4,5,0,8,2,4
NZ First,National,0.65,7,2,8,0,7,3,2,0
Labour,Labour,0.81,6,9,8,0,0,6,0,0
NZ First,No Vote,1.16,2,8,10,5,0,9,0,5
Labour,Labour,0.72,0,10,1,5,5,5,5,4
National,No Vote,1.61,6,2,0,0,0,8,2,1
National,National,0.91,10,0,0,5,5,0,5,0
No Vote,No Vote,5.64,4,5,2,2,2,7,5,5
National,No Vote,1.61,7,7,2,3,4,2,1,4
National,National,0.84,9,0,2,6,6,0,6,0
National,National,2.00,10,0,5,5,5,3,7,3
National,National,0.84,10,3,0,5,7,6,4,2
Act,No Vote,0.97,10,5,2,5,10,5,6,2
Labour,Green,0.81,5,7,4,0,0,7,6,4
No Vote,No Vote,3.80,8,7,5,0,6,9,7,0
Green,No Vote,0.92,0,3,1,0,0,10,8,8
Labour,Green,0.72,0,8,3,0,0,6,2,7
National,National,1.61,10,3,1,8,7,4,5,0
Labour,Labour,0.81,3,6,0,0,5,0,0,0
National,No Vote,1.61,10,2,3,4,9,0,7,3
NZ First,Labour,1.16,5,8,10,0,0,8,3,5
National,No Vote,1.61,6,4,6,3,3,5,5,5
Labour,No Vote,2.14,10,1,1,0,7,1,0,0
National,Labour,1.99,5,4,0,3,3,5,4,3
Kiwi,Green,3.02,4,6,2,0,0,4,2,0
NZ First,No Vote,0.65,8,6,8,3,4,0,5,5
Green,No Vote,1.76,3,7,2,5,4,8,6,5
Green,No Vote,0.92,3,6,4,5,2,7,7,5
National,No Vote,2.14,8,4,3,2,3,5,0,1
Green,Labour,0.92,6,8,4,7,1,9,4,7
National,No Vote,0.84,8,7,2,4,5,5,2,4
National,National,0.91,10,3,0,3,8,7,4,3
Labour,Labour,0.75,3,6,2,5,2,5,6,6
National,DK,0.84,0,0,0,0,0,0,0,0
Labour,No Vote,1.44,2,10,0,0,0,0,0,0
Labour,No Vote,1.44,0,0,0,0,0,0,0,0
Labour,Labour,0.81,9,9,5,5,3,5,5,4
Labour,No Vote,0.81,3,10,0,0,0,7,4,0
National,No Vote,0.91,6,5,2,0,0,0,0,0
National,No Vote,1.61,6,6,6,2,9,1,0,4
Green,Labour,1.37,5,8,2,6,5,10,5,5
Labour,Labour,0.47,6,8,3,4,2,7,3,3
National,National,0.61,10,5,1,0,8,2,3,0
Labour,Labour,0.47,0,8,0,0,0,7,3,5
Labour,No Vote,0.47,7,8,0,0,0,0,0,0
National,National,1.25,9,4,1,4,8,1,5,0
Labour,No Vote,0.47,6,8,5,2,3,4,7,7
National,,0.52,0,0,0,0,0,0,0,0
National,No Vote,1.25,5,5,0,0,1,5,0,0
Green,Labour,1.37,4,8,0,0,0,10,3,0
Green,Labour,0.58,3,8,2,1,0,8,6,6
National,No Vote,1.25,10,8,8,7,7,4,1,4
Labour,Labour,0.15,7,7,3,5,2,7,8,7
Green,Labour,0.67,2,10,0,1,7,10,8,1
Labour,Labour,0.55,3,9,5,0,1,7,5,3
Green,Green,0.18,3,8,0,0,0,9,2,2
Act,No Vote,1.34,7,3,0,5,8,5,0,5
No Vote,No Vote,2.96,7,6,6,4,5,6,2,2
Labour,No Vote,1.44,2,10,2,0,2,2,8,2
